cid,name,type,notnull,dflt_value,pk,table
0,competition_id,INTEGER,0,,1,competitions
1,name,TEXT,1,,0,competitions
2,country,TEXT,0,,0,competitions
3,type,TEXT,0,,0,competitions
4,season_start,INTEGER,0,,0,competitions
5,season_end,INTEGER,0,,0,competitions
0,game_id,INTEGER,0,,1,fixtures
1,date,TEXT,0,,0,fixtures
2,competition_id,INTEGER,0,,0,fixtures
3,season,INTEGER,0,,0,fixtures
4,round,TEXT,0,,0,fixtures
5,home_team_id,INTEGER,0,,0,fixtures
6,away_team_id,INTEGER,0,,0,fixtures
7,home_team_name,TEXT,0,,0,fixtures
8,away_team_name,TEXT,0,,0,fixtures
9,status_short,TEXT,0,,0,fixtures
10,status_long,TEXT,0,,0,fixtures
11,home_score,INTEGER,0,,0,fixtures
12,away_score,INTEGER,0,,0,fixtures
13,home_score_ht,INTEGER,0,,0,fixtures
14,away_score_ht,INTEGER,0,,0,fixtures
15,venue_name,TEXT,0,,0,fixtures
16,venue_city,TEXT,0,,0,fixtures
17,referee,TEXT,0,,0,fixtures
0,game_id,INTEGER,0,,1,matches
1,date,TEXT,1,,0,matches
2,league_name,TEXT,1,,0,matches
3,home_team,TEXT,1,,0,matches
4,away_team,TEXT,1,,0,matches
5,home_score,INTEGER,0,,0,matches
6,away_score,INTEGER,0,,0,matches
7,home_score_ht,INTEGER,0,,0,matches
8,away_score_ht,INTEGER,0,,0,matches
0,player_id,INTEGER,0,,1,players
1,name,TEXT,1,,0,players
0,id,INTEGER,0,,1,stats_player
1,game_id,INTEGER,1,,0,stats_player
2,competition_id,INTEGER,0,,0,stats_player
3,season,INTEGER,0,,0,stats_player
4,team_id,INTEGER,0,,0,stats_player
5,team_name,TEXT,1,,0,stats_player
6,player_id,INTEGER,0,,0,stats_player
7,player_name,TEXT,1,,0,stats_player
8,position,TEXT,0,,0,stats_player
9,rating,REAL,0,,0,stats_player
10,minutes,INTEGER,0,,0,stats_player
11,shots_total,INTEGER,0,,0,stats_player
12,shots_on,INTEGER,0,,0,stats_player
13,goals,INTEGER,0,,0,stats_player
14,assists,INTEGER,0,,0,stats_player
15,key_passes,INTEGER,0,,0,stats_player
16,passes_total,INTEGER,0,,0,stats_player
17,passes_accuracy,INTEGER,0,,0,stats_player
18,dribbles_attempts,INTEGER,0,,0,stats_player
19,dribbles_success,INTEGER,0,,0,stats_player
20,duels_total,INTEGER,0,,0,stats_player
21,duels_won,INTEGER,0,,0,stats_player
22,tackles,INTEGER,0,,0,stats_player
23,interceptions,INTEGER,0,,0,stats_player
24,blocks,INTEGER,0,,0,stats_player
25,fouls_drawn,INTEGER,0,,0,stats_player
26,fouls_committed,INTEGER,0,,0,stats_player
27,yellow_cards,INTEGER,0,,0,stats_player
28,red_cards,INTEGER,0,,0,stats_player
29,saves,INTEGER,0,,0,stats_player
0,id,INTEGER,0,,1,stats_team
1,game_id,INTEGER,1,,0,stats_team
2,competition_id,INTEGER,0,,0,stats_team
3,season,INTEGER,0,,0,stats_team
4,team_id,INTEGER,0,,0,stats_team
5,team_name,TEXT,1,,0,stats_team
6,stat_type,TEXT,1,,0,stats_team
7,value,REAL,0,,0,stats_team
8,period,TEXT,1,,0,stats_team
0,team_id,INTEGER,0,,1,teams
1,name,TEXT,1,,0,teams
2,country,TEXT,0,,0,teams
